Year,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral
1994,5.359585830256848,10.183641016108373,5.381984708206944,8.278805963632992,24.842099704000702,7.8609523129313805,4.982838282736989,15.469613789240926,17.640478392884837
1995,7.3220872539912785,12.4875209714606,6.153095733815547,7.579183066675326,23.140838835227395,6.357230297222555,5.056530121065723,16.813119773243614,15.090393947297972
1996,5.910504891764859,12.76864596887582,6.606270163592613,6.039245212713641,22.01207307666638,6.239427822596974,6.541997317398386,16.497618807755778,17.384216738635537
1997,7.727876144022772,11.367191385049857,5.2203167646649105,6.705169026231688,21.34799048291936,7.592417363433277,6.021076721480458,17.361056400615006,16.656905711582667
1998,9.026042170292103,12.92555028867909,6.278699277322611,8.186784646060154,19.703903085307743,8.04917838259182,5.855467201831295,12.666381199715705,17.307993748199447
1999,7.362450453369485,14.800523362945968,5.283777854674002,8.113904146734944,20.049914730951887,7.413883962876085,5.443512056399052,16.232107701380148,15.299925730668427
2000,8.092776125307319,13.516870335052154,4.374777529857743,5.436618738757776,21.305216454503444,7.973242592226548,5.013338315477352,15.588274948791886,18.69888496002578
2001,7.366568209911864,14.448230566303318,4.0070857204371135,7.899400290112366,20.540293731895904,7.238225152040944,5.0576889613654314,15.893225788659233,17.549281579273824
2002,6.509126869389018,14.476834760626316,4.182175654458262,6.333282642809496,21.45464321365856,6.227821811133831,5.990896202405153,16.852049143193643,17.97316970232571
2003,7.631584275306513,12.201171894653854,7.974824850296653,8.002245237151685,20.500802891676155,6.948050046153424,6.104596641785698,15.027419331875848,15.609304831100156
2004,9.908678773926454,13.81964868207128,6.854695403495713,8.598262392921836,16.562717743213096,8.181550389754726,5.34245776153671,13.168856869824362,17.563131983255822
2005,6.8596668811065085,13.054579480546975,5.6184400953363784,5.199689620664852,18.320513967456687,4.51110926826871,7.262922878634951,19.39494554722883,19.778132260756095
