Rank,Song,Artist,Year,Main Emotion,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral,na
64,It's Not Unusual,Tom Jones,1965,sadness,18.18181818,13.63636364,9.090909091,18.18181818,13.63636364,22.72727273,0,0,4.545454545,0
65,She's About a Mover,Sir Douglas Quintet,1965,joy,0,0,25,0,62.5,0,0,0,12.5,0
66,Shake,Sam Cooke,1965,joy,9.523809524,14.28571429,0,0,28.57142857,0,19.04761905,23.80952381,4.761904762,0
67,Wonderful World,Herman's Hermits,1965,joy,0,0,0,5,45,0,20,25,5,0
68,Nowhere to Run,Martha,1965,joy,3.773584906,13.20754717,1.886792453,20.75471698,32.0754717,1.886792453,11.32075472,13.20754717,1.886792453,0
69,Heart Full of Soul,The Yardbirds,1965,anticipation,13.04347826,21.73913043,8.695652174,21.73913043,8.695652174,21.73913043,0,0,4.347826087,0
70,Love Potion No. 9,The Searchers,1965,fear,0,0,23.07692308,30.76923077,0,23.07692308,0,15.38461538,7.692307692,0
71,Laurie (Strange Things Happen),Dickey Lee,1965,anticipation,5.882352941,20.58823529,2.941176471,8.823529412,20.58823529,14.70588235,14.70588235,8.823529412,2.941176471,0
72,Baby Don't Go,Sonny,1965,joy,2.702702703,24.32432432,2.702702703,0,40.54054054,2.702702703,2.702702703,21.62162162,2.702702703,0
73,It Ain't Me Babe,The Turtles,1965,fear,0,0,0,28.57142857,14.28571429,14.28571429,0,28.57142857,14.28571429,0
74,Tell Her No,The Zombies,1965,joy,16.66666667,0,0,16.66666667,33.33333333,20.83333333,4.166666667,4.166666667,4.166666667,0
75,I Go to Pieces,Peter,1965,fear,10.25641026,5.128205128,2.564102564,25.64102564,20.51282051,17.94871795,5.128205128,10.25641026,2.564102564,0
76,Red Roses for a Blue Lady,Vic Dana,1965,anticipation,5,22.5,0,5,22.5,15,10,17.5,2.5,0
77,Don't Just Stand There,Patty Duke,1965,anticipation,5.882352941,17.64705882,0,5.882352941,17.64705882,17.64705882,17.64705882,11.76470588,5.882352941,0
78,The Tracks of My Tears,The Miracles,1965,joy,0,15.78947368,0,0,28.94736842,2.631578947,26.31578947,23.68421053,2.631578947,0
79,Too Many Rivers,Brenda Lee,1965,sadness,25,10,5,20,5,30,0,0,5,0
80,I Like It Like That,The Dave Clark Five,1965,sadness,0,20,0,20,0,30,0,20,10,0
