Rank,Song,Artist,Year,Main Emotion,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral,na
82,True Love Ways,Peter,1965,joy,0.0,14.285714285714286,0.0,0.0,42.857142857142854,0.0,0.0,28.571428571428573,14.285714285714286,0.0
83,It's the Same Old Song,Four Tops,1965,joy,0.0,19.047619047619047,0.0,0.0,33.333333333333336,9.523809523809524,14.285714285714286,19.047619047619047,4.761904761904762,0.0
84,You've Got Your Troubles,The Fortunes,1965,sadness,7.142857142857143,7.142857142857143,7.142857142857143,7.142857142857143,21.428571428571427,28.571428571428573,0.0,14.285714285714286,7.142857142857143,0.0
85,Hold What You've Got,Joe Tex,1965,anticipation,0.0,20.0,0.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0
86,We Gotta Get out of This Place,The Animals,1965,joy,0.0,11.11111111111111,11.11111111111111,0.0,33.333333333333336,0.0,11.11111111111111,22.22222222222222,11.11111111111111,0.0
87,Laugh Laugh,The Beau Brummels,1965,anger,13.043478260869565,13.043478260869565,13.043478260869565,8.695652173913043,13.043478260869565,13.043478260869565,8.695652173913043,13.043478260869565,4.3478260869565215,0.0
88,The Last Time,The Rolling Stones,1965,surprise,0.0,20.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0,0.0
89,Do You Believe in Magic,The Lovin' Spoonful,1965,joy,0.0,18.181818181818183,0.0,9.090909090909092,27.272727272727273,18.181818181818183,9.090909090909092,9.090909090909092,9.090909090909092,0.0
90,All I Really Want to Do,Cher,1965,anger,22.22222222222222,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,0.0,11.11111111111111,0.0
91,Take Me Back,Little Anthony,1965,anger,40.0,0.0,30.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0
92,I Want Candy,The Strangeloves,1965,anticipation,0.0,20.0,0.0,10.0,20.0,0.0,20.0,20.0,10.0,0.0
93,Ooo Baby Baby,The Miracles,1965,anticipation,0.0,20.0,0.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0
94,Laugh at Me,Sonny,1965,joy,16.666666666666668,16.666666666666668,0.0,16.666666666666668,33.333333333333336,0.0,0.0,0.0,16.666666666666668,0.0
95,Treat Her Right,Roy Head,1965,anticipation,0.0,25.0,0.0,0.0,25.0,0.0,12.5,25.0,12.5,0.0
96,The Race Is On,Jack Jones,1965,anticipation,0.0,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,0.0
