Rank,Song,Artist,Year,Topic Rank,Single Rank,Position Rank,Multipartite Rank
43,Walk It Talk It,Migos,2018,niggas;life;karats;pair;shit;thot;profits;beefin;pocket;water;cash;load;lobe;plain;assaults;back;scoliosis;respect;diamonds;versace,versace;private;offset;migo;town;rocky;brand;plain;own;big;new;dead;mile;niggas;coffin;walkie;same;chain;beefin;google,woah;big;new;new;plain;mile;private;same;dope;own;gang;niggas;chain;private;somethin';life;whippin;town;coffin;heard,niggas;life;shit;karats;pair;thot;profits;heard;plain;beefin;lane;scoliosis;back;fame;diamonds;respect;brand;pocket;water;cash
44,Gucci Gang,Lil Pump,2018,bitch;gucci;new;yuh;wedding;lil;name;cocaine;balmains;gucci;fuck;racks;ooh;everybody;tech;hunnid;private;meds;shit;wrist,gucci;gucci;gucci;gucci;yuh;gucci;gucci;bitch;lil;bitch;yuh;new;tent;brr;yuh;lil;fuck;new;wedding;lean,gucci;gucci;yuh;brr;tent;yuh;bitch;lil;bitch;new;lil;racks;wedding;balmains;fuck;cocaine;private;lean;everybody;fuck,bitch;yuh;bitch;gucci;new;cocaine;name;gucci;brr;wedding;lil;racks;balmains;gucci;fuck;ooh;everybody;private;meth;hunnid
45,Him & I,G-Eazy,2018,end;woah;love;crazy;heart;mind;head;ride;lover;crazy;true;style;high;bitch;mobbin;suffer;intense;different;pain;shit,crazy;bitch;ride;high;thang;end;die;down;crazy;love;style;ysl;crazy;kind;other;bitch;mind;fuck;black;different,heart;end;ride;high;lover;die;crazy;woah;love;ride;crazy;mind;crazy;bitch;kind;ysl;mob;style;fuck;head,end;woah;love;crazy;heart;mind;head;ride;lover;crazy;true;style;high;bitch;suffer;mobbin;different;intense;pain;shit
46,In My Blood,Shawn Mendes,2018,blood;somebody;someone;strong;walls;medicine;overwhelmed;insecure;nothing;bathroom;skin;something;anxious;phone;alone;mind;drink;home;way;better,blood;strong;somebody;bathroom;someone;anxious;nothing;insecure;overwhelmed;something;drink;medicine;phone;mind;alone;skin;home;way;walls;better,somebody;blood;bathroom;someone;nothing;walls;anxious;something;medicine;drink;mind;phone;skin;home;way,blood;somebody;someone;strong;walls;medicine;overwhelmed;insecure;nothing;bathroom;skin;something;anxious;phone;alone;mind;drink;home;way;better
47,All the Stars,Kendrick Lamar,2018,stars;closer;night;dreams;love;feeling;life;anything;everything;reason;man;heart;breathin;calculated;rebound;wrong;control;false;corrupt;entitled,realest;time;closer;closer;stars;love;calculated;false;life;small;entitled;feeling;anything;conversation;bullet;buildin;morgue;people;mothafucka;man,realest;time;love;anything;closer;feeling;stars;everything;feeling;night;life;dreams;momma;runnin;day;hours;calculated;thanks;false;breathin,stars;closer;love;night;dreams;feeling;anything;everything;life;feeling;reason;man;heart;wrong;calculated;breathin;rebound;false;control;people
48,Stir Fry,Migos,2018,kitchen;stir;whip;dogs;dance;nighttime;famous;birds;real;guys;trap;trap;ball;coast;woo;ap;control;fashion;pink;property,kitchen;stir;kitchen;sizes;casket;patek;kitchen;wrist;stir;dead;trap;money;trap;trap;bird;ball;dead;icy;blue;money,kitchen;stir;kitchen;wrist;dogs;trap;dance;trap;trap;nighttime;woo;money;money;whip;fashion;popeye;designer;chickens;dead;colors,kitchen;stir;whip;dogs;dance;nighttime;famous;birds;real;guys;trap;trap;ball;coast;designer;woo;fashion;dead;ap;control
49,Too Good at Goodbyes,Sam Smith,2018,time;goodbyes;good;less;sad;chance;true;tears;baby;protectin;thinkin;dirt;case;innocence;cold;close;heartless;way;soul;ahhh,less;time;tears;less;good;goodbyes;fool;baby;true;sad;protectin;most;chance;thinkin;innocence;cold;new;stupid;'cause;heartless,fool;time;less;goodbyes;baby;tears;'cause;chance;dirt;case;innocence;ahhh;way;soul,time;goodbyes;good;less;sad;chance;true;tears;baby;protectin;thinkin;dirt;case;innocence;cold;close;heartless;way;soul;ahhh
50,Love,Kendrick Lamar,2018,way;money;lovely;run;feelin;one;nobody;blade;curb;hund;whole;life;net;feeling;assumptions;connection;vague;babe;phone;nanny,money;mammy;lovely;way;shoulder;big;money;nanny;bad;run;ride;net;backstroke;studio;babe;lovely;blessing;feelin;yo;somethin',damn;damn;love;money;run;lovely;money;big;feelin;one;nobody;net;somethin';ride;way;feeling;function;assumptions;blade;body,money;way;lovely;run;feelin;one;nobody;lovely;money;curb;blade;hund;whole;life;damn;net;feeling;assumptions;connection;vague
51,This Is America,Childish Gambino,2018,money;america;somebody;grandma;black;party;whippin;money;world;free;frame;dance;barcode;ayy;hunnid;dog;hunnid;contraband;guns;plug,money;black;money;black;hunnid;contraband;money;somebody;party;america;big;big;world;free;hunnid;expensive;party;somebody;cold;go,black;money;party;black;money;party;free;somebody;contraband;america;girl;dance;somebody;hunnid;frame;world;grandma;ooh;world;whippin,money;america;somebody;black;black;grandma;party;whippin;money;ooh;free;world;frame;dance;kodak;hunnid;party;hunnid;barcode;ayy
52,Nonstop,Drake,2018,head;spinnin;bass;kickin;chicken;smokin;ayy;stopwatch;real;rollie;block;niggas;bill;big;revenge;hand;hard;drizzy;dark;pinky,wild;block;hot;real;ayy;stopwatch;niggas;upper;expense;revenge;blind;other;ayy;dark;pinky;wedding;profit;real;spinnin;big,tay;hot;ayy;hot;stopwatch;ayy;chicken;head;kickin;smokin;nobody;bass;shit;niggas;switch;bodies;sneaker;pullin;bar;hard,head;spinnin;bass;kickin;chicken;smokin;ayy;stopwatch;real;rollie;block;real;niggas;bill;big;hand;hard;dark;revenge;flow
53,Heaven,Kane Brown,2018,better;everybody;beautiful;good;heaven;heaven;bed;cause;right;feels;moment;room;magic;world;angel;girl;fine;perfect,heaven;heaven;beautiful;better;more;right;bed;everybody;good;perfect;magic;feels;world;room;angel;moment;girl;cause;fine,more;heaven;heaven;beautiful;right;everybody;bed;feels;magic;moment;angel;room;world;girl;cause,better;everybody;beautiful;good;heaven;heaven;bed;cause;right;feels;moment;room;magic;world;angel;girl;fine;perfect
54,Bodak Yellow,Cardi B,2018,lil;hoes;bloody;money;pussy;nigga;comfortable;look;red;rich;expensive;store;safe;mama;boss;front;shit;rollie;gate;gold,lil;worker;bitch;bloody;pussy;bloody;money;hoes;yves;pussy;new;frosted;red;gold;fuck;cardi;baby;front;rich;cardi,cardi;cardi;ksr;shit;lil;worker;pussy;bloody;money;bitch;bloody;pussy;red;money;gold;stove;look;boss;store;hoes,lil;hoes;bloody;money;pussy;comfortable;look;nigga;red;store;expensive;bitch;rich;mama;money;worker;bloody;safe;boss;front
55,Freaky Friday,Lil Dicky,2018,body;fuck;chris;freaky;lil;holy;nigga;dick;bitch;choice;black;nobody;wait;ed;kendall;man;dj;pictures;paparazzi;motherfucker,nigga;chris;freaky;ass;body;lil;ain;school;chris;holy;fuck;body;nigga;dream;soft;shit;dick;dj;dicky;facetimed,lil;chris;freaky;dicky;chris;body;school;fuck;body;nigga;holy;dream;shit;nigga;soft;dj;ed;dick;mustard;dick,chris;lil;body;fuck;freaky;chris;holy;nigga;dick;shit;bitch;man;choice;beat;black;nobody;wait;mustard;kendall;vagina
